2023-07-05,2023186,35,24,4,27,47,18,+,1,蛇,龙,鼠,牛,蛇,狗,,兔,木,金,土,水,土,土,,金,,155,单,4:3,                    奇,偶,偶,奇,奇,偶                ,43,<a href=/newam6hc-kjjg-2023186.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-10,2023130,40,14,24,18,7,32,+,21,鼠,虎,龙,狗,鸡,猴,,羊,金,木,金,土,火,金,,木,,135,单,2:5,                    偶,偶,偶,偶,奇,偶                ,33,<a href=/newam6hc-kjjg-2023130.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-09,2023129,7,46,34,15,45,14,+,35,鸡,马,马,牛,羊,虎,,蛇,火,火,土,火,火,木,,木,,161,单,4:3,                    奇,偶,偶,奇,奇,偶                ,39,<a href=/newam6hc-kjjg-2023129.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-08,2023128,20,7,14,12,23,47,+,31,猴,鸡,虎,龙,蛇,蛇,,鸡,水,火,木,水,金,土,,金,,123,单,4:3,                    偶,奇,偶,偶,奇,奇                ,40,<a href=/newam6hc-kjjg-2023128.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-07,2023127,5,42,30,20,28,24,+,2,猪,狗,狗,猴,鼠,龙,,虎,木,水,火,水,水,金,,金,,149,单,1:6,                    奇,偶,偶,偶,偶,偶                ,37,<a href=/newam6hc-kjjg-2023127.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-06,2023126,24,29,10,38,20,31,+,11,龙,猪,马,虎,猴,鸡,,蛇,金,火,金,火,水,金,,水,,152,双,3:4,                    偶,奇,偶,偶,偶,奇                ,28,<a href=/newam6hc-kjjg-2023126.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-05,2023125,9,26,28,5,16,12,+,22,羊,虎,鼠,猪,鼠,龙,,马,金,土,水,木,火,水,,木,,96,双,2:5,                    奇,偶,偶,奇,偶,偶                ,23,<a href=/newam6hc-kjjg-2023125.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-04,2023124,42,34,26,32,28,29,+,35,狗,马,虎,猴,鼠,猪,,蛇,水,土,土,金,水,火,,木,,191,单,2:5,                    偶,偶,偶,偶,偶,奇                ,16,<a href=/newam6hc-kjjg-2023124.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-03,2023123,48,40,15,19,36,4,+,21,龙,鼠,牛,鸡,龙,鼠,,羊,土,金,火,水,木,土,,木,,162,双,3:4,                    偶,偶,奇,奇,偶,偶                ,44,<a href=/newam6hc-kjjg-2023123.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-02,2023122,9,45,37,1,28,30,+,42,羊,羊,兔,兔,鼠,狗,,狗,金,火,火,金,水,火,,水,,150,双,4:3,                    奇,奇,奇,奇,偶,偶                ,44,<a href=/newam6hc-kjjg-2023122.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-01,2023121,8,23,42,41,3,20,+,30,猴,蛇,狗,猪,牛,猴,,狗,火,金,水,水,土,水,,火,,137,单,3:4,                    偶,奇,偶,奇,奇,偶                ,39,<a href=/newam6hc-kjjg-2023121.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-04-30,2023120,25,27,49,39,37,22,+,44,兔,牛,兔,牛,兔,马,,猴,土,水,水,金,火,木,,木,,199,单,5:2,                    奇,奇,奇,奇,奇,偶                ,27,<a href=/newam6hc-kjjg-2023120.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-04-29,2023119,33,16,20,23,22,48,+,28,羊,鼠,猴,蛇,马,龙,,鼠,土,火,水,金,木,土,,水,,162,双,2:5,                    奇,偶,偶,奇,偶,偶                ,32,<a href=/newam6hc-kjjg-2023119.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-04-28,2023118,41,30,13,2,15,10,+,1,猪,狗,兔,虎,牛,马,,兔,水,火,木,金,火,金,,金,,111,单,4:3,                    奇,偶,奇,偶,奇,偶                ,39,<a href=/newam6hc-kjjg-2023118.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-04-27,2023117,22,30,38,3,39,14,+,41,马,狗,虎,牛,牛,虎,,猪,木,火,火,土,金,木,,水,,146,双,3:4,                    偶,偶,偶,奇,奇,偶                ,36,<a href=/newam6hc-kjjg-2023117.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-04-26,2023116,7,14,2,21,6,28,+,49,鸡,虎,虎,羊,狗,鼠,,兔,火,木,金,木,木,水,,水,,78,双,3:4,                    奇,偶,偶,奇,偶,偶                ,26,<a href=/newam6hc-kjjg-2023116.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-04-25,2023115,4,39,40,46,49,32,+,15,鼠,牛,鼠,马,兔,猴,,牛,土,金,金,火,水,金,,火,,210,双,3:4,                    偶,奇,偶,偶,奇,偶                ,45,<a href=/newam6hc-kjjg-2023115.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-04-24,2023114,31,11,25,26,23,17,+,43,鸡,蛇,兔,虎,蛇,猪,,鸡,金,水,土,土,金,土,,木,,133,单,6:1,                    奇,奇,奇,偶,奇,奇                ,20,<a href=/newam6hc-kjjg-2023114.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-04-23,2023113,41,15,23,48,32,13,+,1,猪,牛,蛇,龙,猴,兔,,兔,水,火,金,土,金,木,,金,,172,双,5:2,                    奇,奇,奇,偶,偶,奇                ,35,<a href=/newam6hc-kjjg-2023113.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
